concept_A,concept_B,n_people
Intestinal obstruction,Viral exanthem,1
Intracranial hemorrhage,Jaundice,1
Intestinal obstruction,Pneumonia due to Klebsiella pneumoniae,1
Intestinal obstruction,Pruritus of skin,1
Intestinal obstruction,Pulmonary congestion and hypostasis,1
Intestinal obstruction,Pulmonary embolism with pulmonary infarction,1
Intestinal obstruction,Refractory epilepsy,1
Intestinal obstruction,Respiratory finding of chest,1
Intestinal obstruction,Secondary diabetes mellitus,1
Intestinal obstruction,Seizure,1
Intestinal obstruction,Sepsis due to Staphylococcus aureus,1
Intestinal obstruction,Sepsis due to Streptococcus group D,1
Intracranial hemorrhage,Male infertility,1
Intracranial hemorrhage,Meningitis,1
Intracranial hemorrhage,Monocytosis,1
Intracranial hemorrhage,Mood disorder caused by drug,1
Intracranial hemorrhage,Nausea,1
Intracranial hemorrhage,Nausea and vomiting,1
Intestinal obstruction,Swelling of limb,1
Intestinal obstruction,Thrombocytopenic disorder,1
Intestinal obstruction,Thrombophlebitis of intracranial venous sinus,1
Intestinal obstruction,Thrombosis of superficial vein of lower limb,1
Intestinal obstruction,Tobacco dependence syndrome,1
Intestinal obstruction,Transplant present,1
Intestinal obstruction,Transplanted bone present,1
Intestinal obstruction,Trauma and postoperative pulmonary insufficiency,1
Intestinal obstruction,Tumor lysis syndrome,1
Intestinal obstruction,Ulcerative stomatitis,1
Intracranial hemorrhage,Poisoning by drug AND/OR medicinal substance,1
Intracranial hemorrhage,Pruritus of skin,1
Intracranial hemorrhage,Pulmonary congestion and hypostasis,1
Intracranial hemorrhage,Pulmonary embolism with pulmonary infarction,1
Intracranial hemorrhage,Refractory epilepsy,1
Intracranial hemorrhage,Respiratory finding of chest,1
Intracranial hemorrhage,Retention of urine,1
Intracranial hemorrhage,Joint pain,1
Intracranial hemorrhage,Knee joint effusion,1
Intracranial hemorrhage,Late effect of complications of procedure,1
Intracranial hemorrhage,Late effect of medical and surgical care complication,1
Intracranial hemorrhage,Leukocytosis,1
Intracranial hemorrhage,Limbal stem cell deficiency,1
Intracranial hemorrhage,Localization-related epilepsy,1
Intracranial hemorrhage,Lymphocytosis,1
Intracranial hemorrhage,Lymphoid leukemia,1
Intracranial hemorrhage,Seizure,1
Intracranial hemorrhage,Sepsis due to Staphylococcus aureus,1
Intracranial hemorrhage,Sepsis due to Streptococcus group D,1
Intracranial hemorrhage,Sequela,1
Intracranial hemorrhage,Sleep apnea,1
Intracranial hemorrhage,Sprain of cruciate ligament of knee,1
Intracranial hemorrhage,Strain of supraspinatus muscle AND/OR tendon,1
Intracranial hemorrhage,Swelling of limb,1
Intracranial hemorrhage,Tachycardia,1
Intracranial hemorrhage,Non-autoimmune hemolytic anemia,1
Intracranial hemorrhage,Obstructive sleep apnea syndrome,1
Intracranial hemorrhage,Oral ulcerative mucositis due to antineoplastic therapy,1
Intracranial hemorrhage,Pain due to neoplastic disease,1
Intracranial hemorrhage,Pancytopenia,1
Intracranial hemorrhage,Pleural effusion,1
Intracranial hemorrhage,Pneumonia due to Klebsiella pneumoniae,1
Abdominal pain,Malignant ascites,1
Abdominal pain,Malignant melanoma of skin,1
Abdominal pain,Malignant neoplasm of abdomen,1
Abdominal pain,Malignant neoplasm of connective and soft tissue of abdomen,1
Abdominal pain,Malignant neoplasm of connective and soft tissue of pelvis,1
Abdominal pain,Malignant neoplasm of connective and soft tissue of thorax,1
Abdominal pain,Mediastinal emphysema,1
Abdominal pain,Melena,1
Intracranial hemorrhage,Venous thrombosis,1
Intracranial hemorrhage,Viral disease,1
Intracranial hemorrhage,Viral exanthem,1
Intracranial hemorrhage,Vomiting,1
Jaundice,Joint pain,1
Intracranial hemorrhage,Right upper quadrant pain,1
Intracranial hemorrhage,Secondary diabetes mellitus,1
Intracranial hemorrhage,Secondary hypertension,1
Intracranial hemorrhage,Thrombophlebitis of intracranial venous sinus,1
Intracranial hemorrhage,Thrombosis of superficial vein of lower limb,1
Intracranial hemorrhage,Tobacco dependence syndrome,1
Intracranial hemorrhage,Transplanted bone present,1
Intracranial hemorrhage,Trauma and postoperative pulmonary insufficiency,1
Intracranial hemorrhage,Tumor lysis syndrome,1
Intracranial hemorrhage,Ulcerative stomatitis,1
Intracranial hemorrhage,Urine finding,1
Intracranial hemorrhage,Urticaria,1
Abdominal pain,Nocturnal enuresis,1
Abdominal pain,Non-infectious disorder of lymphatics,1
Abdominal pain,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Abdominal pain,Nonulcer dyspepsia,1
Abdominal pain,Open wound of trunk,1
Abdominal pain,Lymphedema,1
Abdominal pain,Malaise,1
Jaundice,Knee joint effusion,1
Jaundice,Limbal stem cell deficiency,1
Jaundice,Lymphocytosis,1
Jaundice,Lymphoid leukemia,1
Jaundice,Male infertility,1
Jaundice,Meningitis,1
Jaundice,Monocytosis,1
Jaundice,Mood disorder caused by drug,1
Jaundice,Neutropenic disorder,1
Jaundice,Non-autoimmune hemolytic anemia,1
Jaundice,Obstructive sleep apnea syndrome,1
Jaundice,Oral ulcerative mucositis due to antineoplastic therapy,1
Jaundice,Pain due to neoplastic disease,1
Jaundice,Pain in limb,1
Jaundice,Pancytopenia,1
Jaundice,Pneumonia due to Klebsiella pneumoniae,1
Jaundice,Poisoning by drug AND/OR medicinal substance,1
Jaundice,Pruritus of skin,1
Jaundice,Pulmonary embolism with pulmonary infarction,1
Jaundice,Respiratory finding of chest,1
Jaundice,Retention of urine,1
Jaundice,Right upper quadrant pain,1
Jaundice,Secondary diabetes mellitus,1
Jaundice,Secondary hypertension,1
Jaundice,Sepsis due to Staphylococcus aureus,1
Jaundice,Sepsis due to Streptococcus group D,1
Jaundice,Sequela,1
Jaundice,Shoulder joint pain,1
Jaundice,Sleep apnea,1
Jaundice,Sprain of cruciate ligament of knee,1
Jaundice,Strain of supraspinatus muscle AND/OR tendon,1
Jaundice,Swelling of limb,1
Jaundice,Tachycardia,1
Jaundice,Thrombophlebitis of intracranial venous sinus,1
Jaundice,Thrombosis of superficial vein of lower limb,1
Jaundice,Tobacco dependence syndrome,1
Jaundice,Transplant present,1
Jaundice,Transplanted bone present,1
Jaundice,Trauma and postoperative pulmonary insufficiency,1
Jaundice,Tumor lysis syndrome,1
Jaundice,Ulcerative stomatitis,1
Jaundice,Urine finding,1
Jaundice,Urticaria,1
Jaundice,Venous thrombosis,1
Jaundice,Viral disease,1
Jaundice,Viral exanthem,1
Joint pain,Knee joint effusion,1
Joint pain,Late effect of complications of procedure,1
Joint pain,Late effect of medical and surgical care complication,1
Joint pain,Leukocytosis,1
Joint pain,Limbal stem cell deficiency,1
Joint pain,Localization-related epilepsy,1
Joint pain,Lung field abnormal,1
Joint pain,Lymphocytosis,1
Joint pain,Lymphoid leukemia,1
Joint pain,Male infertility,1
Joint pain,Meningitis,1
Joint pain,Monocytosis,1
Joint pain,Mood disorder caused by drug,1
Joint pain,Nausea,1
Joint pain,Nausea and vomiting,1
Joint pain,Neutropenic disorder,1
Joint pain,Non-autoimmune hemolytic anemia,1
Joint pain,Obstructive sleep apnea syndrome,1
Joint pain,Oral ulcerative mucositis due to antineoplastic therapy,1
Joint pain,Pain due to neoplastic disease,1
Joint pain,Pain in limb,1
Joint pain,Pancytopenia,1
Joint pain,Pleural effusion,1
Joint pain,Pneumonia due to Klebsiella pneumoniae,1
Joint pain,Poisoning by drug AND/OR medicinal substance,1
Joint pain,Pruritus of skin,1
Joint pain,Pulmonary congestion and hypostasis,1
Joint pain,Pulmonary embolism with pulmonary infarction,1
Joint pain,Refractory epilepsy,1
Joint pain,Respiratory finding of chest,1
Joint pain,Retention of urine,1
Joint pain,Right upper quadrant pain,1
Joint pain,Secondary diabetes mellitus,1
Joint pain,Secondary hypertension,1
Joint pain,Seizure,1
Joint pain,Sepsis,1
Joint pain,Sepsis due to Staphylococcus aureus,1
Joint pain,Sepsis due to Streptococcus group D,1
Joint pain,Septic shock,1
Joint pain,Sequela,1
Joint pain,Severe sepsis,1
Joint pain,Shoulder joint pain,1
Joint pain,Sleep apnea,1
Joint pain,Sprain of cruciate ligament of knee,1
Joint pain,Strain of supraspinatus muscle AND/OR tendon,1
Joint pain,Swelling of limb,1
Joint pain,Tachycardia,1
Joint pain,Thrombocytopenic disorder,1
Joint pain,Thrombophlebitis of intracranial venous sinus,1
Joint pain,Thrombosis of superficial vein of lower limb,1
Joint pain,Tobacco dependence syndrome,1
Joint pain,Transplant present,1
Joint pain,Transplanted bone present,1
Joint pain,Trauma and postoperative pulmonary insufficiency,1
Joint pain,Tumor lysis syndrome,1
Joint pain,Ulcerative stomatitis,1
Joint pain,Urine finding,1
Joint pain,Urticaria,1
Joint pain,Venous thrombosis,1
Joint pain,Viral disease,1
Joint pain,Viral exanthem,1
Joint pain,Vomiting,1
Knee joint effusion,Late effect of complications of procedure,1
Knee joint effusion,Late effect of medical and surgical care complication,1
Knee joint effusion,Leukocytosis,1
Knee joint effusion,Limbal stem cell deficiency,1
Knee joint effusion,Localization-related epilepsy,1
Knee joint effusion,Lung field abnormal,1
Knee joint effusion,Lymphocytosis,1
Knee joint effusion,Lymphoid leukemia,1
Knee joint effusion,Male infertility,1
Knee joint effusion,Meningitis,1
Knee joint effusion,Monocytosis,1
Knee joint effusion,Mood disorder caused by drug,1
Knee joint effusion,Nausea,1
Knee joint effusion,Nausea and vomiting,1
Knee joint effusion,Neutropenic disorder,1
Knee joint effusion,Non-autoimmune hemolytic anemia,1
Knee joint effusion,Obstructive sleep apnea syndrome,1
Knee joint effusion,Oral ulcerative mucositis due to antineoplastic therapy,1
Knee joint effusion,Pain due to neoplastic disease,1
Knee joint effusion,Pain in limb,1
Knee joint effusion,Pancytopenia,1
Knee joint effusion,Pleural effusion,1
Knee joint effusion,Pneumonia due to Klebsiella pneumoniae,1
Knee joint effusion,Poisoning by drug AND/OR medicinal substance,1
Knee joint effusion,Pruritus of skin,1
Knee joint effusion,Pulmonary congestion and hypostasis,1
Knee joint effusion,Pulmonary embolism with pulmonary infarction,1
Knee joint effusion,Refractory epilepsy,1
Knee joint effusion,Respiratory finding of chest,1
Knee joint effusion,Retention of urine,1
Knee joint effusion,Right upper quadrant pain,1
Knee joint effusion,Secondary diabetes mellitus,1
Knee joint effusion,Secondary hypertension,1
Knee joint effusion,Seizure,1
Knee joint effusion,Sepsis,1
Knee joint effusion,Sepsis due to Staphylococcus aureus,1
Knee joint effusion,Sepsis due to Streptococcus group D,1
Knee joint effusion,Septic shock,1
Knee joint effusion,Sequela,1
Knee joint effusion,Severe sepsis,1
Knee joint effusion,Shoulder joint pain,1
Knee joint effusion,Sleep apnea,1
Knee joint effusion,Sprain of cruciate ligament of knee,1
Knee joint effusion,Strain of supraspinatus muscle AND/OR tendon,1
Knee joint effusion,Swelling of limb,1
Knee joint effusion,Tachycardia,1
Knee joint effusion,Thrombocytopenic disorder,1
Knee joint effusion,Thrombophlebitis of intracranial venous sinus,1
Knee joint effusion,Thrombosis of superficial vein of lower limb,1
Knee joint effusion,Tobacco dependence syndrome,1
Knee joint effusion,Transplant present,1
Knee joint effusion,Transplanted bone present,1
Knee joint effusion,Trauma and postoperative pulmonary insufficiency,1
Knee joint effusion,Tumor lysis syndrome,1
Knee joint effusion,Ulcerative stomatitis,1
Knee joint effusion,Urine finding,1
Knee joint effusion,Urticaria,1
Knee joint effusion,Venous thrombosis,1
Knee joint effusion,Viral disease,1
Knee joint effusion,Viral exanthem,1
Knee joint effusion,Vomiting,1
Late effect of complications of procedure,Limbal stem cell deficiency,1
Late effect of complications of procedure,Lymphocytosis,1
Late effect of complications of procedure,Lymphoid leukemia,1
Late effect of complications of procedure,Male infertility,1
Late effect of complications of procedure,Meningitis,1
Late effect of complications of procedure,Monocytosis,1
Late effect of complications of procedure,Mood disorder caused by drug,1
Late effect of complications of procedure,Transplanted bone present,1
Late effect of complications of procedure,Tumor lysis syndrome,1
Late effect of complications of procedure,Neutropenic disorder,1
Late effect of complications of procedure,Non-autoimmune hemolytic anemia,1
Late effect of complications of procedure,Obstructive sleep apnea syndrome,1
Late effect of complications of procedure,Oral ulcerative mucositis due to antineoplastic therapy,1
Late effect of complications of procedure,Pain due to neoplastic disease,1
Late effect of complications of procedure,Pain in limb,1
Late effect of complications of procedure,Pancytopenia,1
Late effect of complications of procedure,Pneumonia due to Klebsiella pneumoniae,1
Late effect of complications of procedure,Poisoning by drug AND/OR medicinal substance,1
Late effect of complications of procedure,Pruritus of skin,1
Late effect of complications of procedure,Pulmonary embolism with pulmonary infarction,1
Late effect of complications of procedure,Respiratory finding of chest,1
Late effect of complications of procedure,Right upper quadrant pain,1
Late effect of complications of procedure,Secondary diabetes mellitus,1
Late effect of medical and surgical care complication,Mood disorder caused by drug,1
Late effect of medical and surgical care complication,Neutropenic disorder,1
Late effect of medical and surgical care complication,Non-autoimmune hemolytic anemia,1
Late effect of medical and surgical care complication,Obstructive sleep apnea syndrome,1
Late effect of complications of procedure,Sepsis due to Staphylococcus aureus,1
Late effect of complications of procedure,Sepsis due to Streptococcus group D,1
Late effect of complications of procedure,Sequela,1
Late effect of complications of procedure,Shoulder joint pain,1
Late effect of complications of procedure,Sleep apnea,1
Late effect of complications of procedure,Sprain of cruciate ligament of knee,1
Late effect of complications of procedure,Strain of supraspinatus muscle AND/OR tendon,1
Late effect of complications of procedure,Swelling of limb,1
Late effect of complications of procedure,Thrombophlebitis of intracranial venous sinus,1
Late effect of complications of procedure,Thrombosis of superficial vein of lower limb,1
Late effect of complications of procedure,Tobacco dependence syndrome,1
Late effect of complications of procedure,Transplant present,1
Late effect of medical and surgical care complication,Secondary diabetes mellitus,1
Late effect of medical and surgical care complication,Sepsis due to Staphylococcus aureus,1
Late effect of medical and surgical care complication,Sepsis due to Streptococcus group D,1
Late effect of medical and surgical care complication,Sequela,1
Late effect of complications of procedure,Ulcerative stomatitis,1
Late effect of complications of procedure,Urine finding,1
Late effect of complications of procedure,Urticaria,1
Late effect of complications of procedure,Venous thrombosis,1
Late effect of complications of procedure,Viral disease,1
Late effect of complications of procedure,Viral exanthem,1
Late effect of medical and surgical care complication,Limbal stem cell deficiency,1
Late effect of medical and surgical care complication,Lymphocytosis,1
Late effect of medical and surgical care complication,Lymphoid leukemia,1
Late effect of medical and surgical care complication,Male infertility,1
Late effect of medical and surgical care complication,Meningitis,1
Late effect of medical and surgical care complication,Monocytosis,1
Late effect of medical and surgical care complication,Pneumonia due to Klebsiella pneumoniae,1
Late effect of medical and surgical care complication,Pruritus of skin,1
Late effect of medical and surgical care complication,Pulmonary embolism with pulmonary infarction,1
Late effect of medical and surgical care complication,Respiratory finding of chest,1
Late effect of medical and surgical care complication,Right upper quadrant pain,1
Abdominal pain,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),1
Abdominal pain,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1
Abdominal pain,Muscle weakness,1
Abdominal pain,Myopia,1
Abdominal pain,Injury of bladder,1
Abdominal pain,Intestinal adhesions with obstruction,1
Abdominal pain,Iron deficiency anemia,1
Abdominal pain,Jaw pain,1
Abdominal pain,Left lower quadrant pain,1
Abdominal pain,Localized edema,1
Abdominal pain,Localized enlarged lymph nodes,1
Leukocytosis,Pain in limb,1
Late effect of medical and surgical care complication,Shoulder joint pain,1
Late effect of medical and surgical care complication,Sleep apnea,1
Late effect of medical and surgical care complication,Sprain of cruciate ligament of knee,1
Late effect of medical and surgical care complication,Strain of supraspinatus muscle AND/OR tendon,1
Late effect of medical and surgical care complication,Swelling of limb,1
Late effect of medical and surgical care complication,Thrombophlebitis of intracranial venous sinus,1
Late effect of medical and surgical care complication,Thrombosis of superficial vein of lower limb,1
Late effect of medical and surgical care complication,Tobacco dependence syndrome,1
Late effect of medical and surgical care complication,Transplant present,1
Late effect of medical and surgical care complication,Transplanted bone present,1
Late effect of medical and surgical care complication,Tumor lysis syndrome,1
Late effect of medical and surgical care complication,Urine finding,1
Late effect of medical and surgical care complication,Urticaria,1
Late effect of medical and surgical care complication,Pain in limb,1
Late effect of medical and surgical care complication,Pancytopenia,1
Leukocytosis,Shoulder joint pain,1
Leukocytosis,Sleep apnea,1
Leukocytosis,Sprain of cruciate ligament of knee,1
Late effect of medical and surgical care complication,Venous thrombosis,1
Late effect of medical and surgical care complication,Viral disease,1
Late effect of medical and surgical care complication,Viral exanthem,1
Leukocytosis,Limbal stem cell deficiency,1
Leukocytosis,Lymphocytosis,1
Leukocytosis,Lymphoid leukemia,1
Leukocytosis,Male infertility,1
Leukocytosis,Meningitis,1
Leukocytosis,Monocytosis,1
Leukocytosis,Mood disorder caused by drug,1
Leukocytosis,Neutropenic disorder,1
Leukocytosis,Non-autoimmune hemolytic anemia,1
Leukocytosis,Obstructive sleep apnea syndrome,1
Leukocytosis,Tumor lysis syndrome,1
Leukocytosis,Urine finding,1
Leukocytosis,Urticaria,1
Leukocytosis,Venous thrombosis,1
Leukocytosis,Viral disease,1
Leukocytosis,Viral exanthem,1
Leukocytosis,Pancytopenia,1
Leukocytosis,Pneumonia due to Klebsiella pneumoniae,1
Leukocytosis,Pruritus of skin,1
Leukocytosis,Pulmonary embolism with pulmonary infarction,1
Leukocytosis,Respiratory finding of chest,1
Leukocytosis,Right upper quadrant pain,1
Leukocytosis,Secondary diabetes mellitus,1
Leukocytosis,Sepsis due to Staphylococcus aureus,1
Leukocytosis,Sepsis due to Streptococcus group D,1
Leukocytosis,Sequela,1
Limbal stem cell deficiency,Mood disorder caused by drug,1
Limbal stem cell deficiency,Nausea,1
Limbal stem cell deficiency,Nausea and vomiting,1
Limbal stem cell deficiency,Neutropenic disorder,1
Limbal stem cell deficiency,Non-autoimmune hemolytic anemia,1
Limbal stem cell deficiency,Obstructive sleep apnea syndrome,1
Limbal stem cell deficiency,Oral ulcerative mucositis due to antineoplastic therapy,1
Limbal stem cell deficiency,Pain due to neoplastic disease,1
Limbal stem cell deficiency,Pain in limb,1
Leukocytosis,Strain of supraspinatus muscle AND/OR tendon,1
Leukocytosis,Swelling of limb,1
Leukocytosis,Thrombophlebitis of intracranial venous sinus,1
Leukocytosis,Thrombosis of superficial vein of lower limb,1
Leukocytosis,Tobacco dependence syndrome,1
Leukocytosis,Transplant present,1
Leukocytosis,Transplanted bone present,1
Limbal stem cell deficiency,Refractory epilepsy,1
Limbal stem cell deficiency,Respiratory finding of chest,1
Limbal stem cell deficiency,Retention of urine,1
Limbal stem cell deficiency,Right upper quadrant pain,1
Limbal stem cell deficiency,Secondary diabetes mellitus,1
Limbal stem cell deficiency,Secondary hypertension,1
Limbal stem cell deficiency,Seizure,1
Limbal stem cell deficiency,Sepsis,1
Limbal stem cell deficiency,Sepsis due to Staphylococcus aureus,1
Limbal stem cell deficiency,Localization-related epilepsy,1
Limbal stem cell deficiency,Lung field abnormal,1
Limbal stem cell deficiency,Lymphocytosis,1
Limbal stem cell deficiency,Lymphoid leukemia,1
Limbal stem cell deficiency,Male infertility,1
Limbal stem cell deficiency,Meningitis,1
Limbal stem cell deficiency,Monocytosis,1
Limbal stem cell deficiency,Strain of supraspinatus muscle AND/OR tendon,1
Limbal stem cell deficiency,Swelling of limb,1
Limbal stem cell deficiency,Tachycardia,1
Limbal stem cell deficiency,Thrombocytopenic disorder,1
Limbal stem cell deficiency,Thrombophlebitis of intracranial venous sinus,1
Limbal stem cell deficiency,Thrombosis of superficial vein of lower limb,1
Limbal stem cell deficiency,Tobacco dependence syndrome,1
Limbal stem cell deficiency,Transplant present,1
Limbal stem cell deficiency,Transplanted bone present,1
Limbal stem cell deficiency,Pancytopenia,1
Limbal stem cell deficiency,Pleural effusion,1
Limbal stem cell deficiency,Pneumonia due to Klebsiella pneumoniae,1
Limbal stem cell deficiency,Poisoning by drug AND/OR medicinal substance,1
Limbal stem cell deficiency,Pruritus of skin,1
Limbal stem cell deficiency,Pulmonary congestion and hypostasis,1
Limbal stem cell deficiency,Pulmonary embolism with pulmonary infarction,1
Limbal stem cell deficiency,Viral exanthem,1
Limbal stem cell deficiency,Vomiting,1
Localization-related epilepsy,Lymphocytosis,1
Localization-related epilepsy,Lymphoid leukemia,1
Localization-related epilepsy,Male infertility,1
Localization-related epilepsy,Meningitis,1
Localization-related epilepsy,Monocytosis,1
Localization-related epilepsy,Mood disorder caused by drug,1
Localization-related epilepsy,Neutropenic disorder,1
Limbal stem cell deficiency,Sepsis due to Streptococcus group D,1
Limbal stem cell deficiency,Septic shock,1
Limbal stem cell deficiency,Sequela,1
Limbal stem cell deficiency,Severe sepsis,1
Limbal stem cell deficiency,Shoulder joint pain,1
Limbal stem cell deficiency,Sleep apnea,1
Limbal stem cell deficiency,Sprain of cruciate ligament of knee,1
Localization-related epilepsy,Poisoning by drug AND/OR medicinal substance,1
Localization-related epilepsy,Pruritus of skin,1
Localization-related epilepsy,Pulmonary embolism with pulmonary infarction,1
Localization-related epilepsy,Respiratory finding of chest,1
Localization-related epilepsy,Retention of urine,1
Localization-related epilepsy,Right upper quadrant pain,1
Localization-related epilepsy,Secondary diabetes mellitus,1
Localization-related epilepsy,Secondary hypertension,1
Localization-related epilepsy,Sepsis due to Staphylococcus aureus,1
Limbal stem cell deficiency,Trauma and postoperative pulmonary insufficiency,1
Limbal stem cell deficiency,Tumor lysis syndrome,1
Limbal stem cell deficiency,Ulcerative stomatitis,1
Limbal stem cell deficiency,Urine finding,1
Limbal stem cell deficiency,Urticaria,1
Limbal stem cell deficiency,Venous thrombosis,1
Limbal stem cell deficiency,Viral disease,1
Abdominal pain,Hyperpituitarism,1
Abdominal pain,Hyperprolactinemia,1
Abdominal pain,Hypomagnesemia,1
Abdominal pain,Hypothyroidism,1
Localization-related epilepsy,Transplant present,1
Localization-related epilepsy,Transplanted bone present,1
Localization-related epilepsy,Trauma and postoperative pulmonary insufficiency,1
Localization-related epilepsy,Tumor lysis syndrome,1
Localization-related epilepsy,Ulcerative stomatitis,1
Localization-related epilepsy,Non-autoimmune hemolytic anemia,1
Localization-related epilepsy,Obstructive sleep apnea syndrome,1
Localization-related epilepsy,Oral ulcerative mucositis due to antineoplastic therapy,1
Localization-related epilepsy,Pain due to neoplastic disease,1
Localization-related epilepsy,Pain in limb,1
Localization-related epilepsy,Pancytopenia,1
Localization-related epilepsy,Pneumonia due to Klebsiella pneumoniae,1
Localization-related epilepsy,Sleep apnea,1
Localization-related epilepsy,Sprain of cruciate ligament of knee,1
Localization-related epilepsy,Strain of supraspinatus muscle AND/OR tendon,1
Localization-related epilepsy,Swelling of limb,1
Localization-related epilepsy,Tachycardia,1
Localization-related epilepsy,Thrombophlebitis of intracranial venous sinus,1
Localization-related epilepsy,Thrombosis of superficial vein of lower limb,1
Localization-related epilepsy,Tobacco dependence syndrome,1
Abdominal pain,"Localized swelling, mass and lump, lower limb",1
Abdominal pain,Long QT syndrome,1
Abdominal pain,Loss of appetite,1
Abdominal pain,Lower abdominal pain,1
Abdominal pain,Hemorrhage of rectum and anus,1
Abdominal pain,Hiccoughs,1
Abdominal pain,Hydronephrosis,1
Abdominal pain,Hydroureter,1
Localization-related epilepsy,Urine finding,1
Localization-related epilepsy,Urticaria,1
Localization-related epilepsy,Venous thrombosis,1
Localization-related epilepsy,Viral disease,1
Localization-related epilepsy,Viral exanthem,1
Lung field abnormal,Lymphocytosis,1
Lung field abnormal,Lymphoid leukemia,1
Lung field abnormal,Male infertility,1
Lung field abnormal,Meningitis,1
Lung field abnormal,Monocytosis,1
Lung field abnormal,Mood disorder caused by drug,1
Lung field abnormal,Non-autoimmune hemolytic anemia,1
Lung field abnormal,Obstructive sleep apnea syndrome,1
Localization-related epilepsy,Sepsis due to Streptococcus group D,1
Localization-related epilepsy,Sequela,1
Localization-related epilepsy,Shoulder joint pain,1
Lung field abnormal,Ulcerative stomatitis,1
Lung field abnormal,Urine finding,1
Lung field abnormal,Urticaria,1
Lung field abnormal,Venous thrombosis,1
Lung field abnormal,Viral disease,1
Lung field abnormal,Pancytopenia,1
Lung field abnormal,Pneumonia due to Klebsiella pneumoniae,1
Lung field abnormal,Poisoning by drug AND/OR medicinal substance,1
Lung field abnormal,Pruritus of skin,1
Lung field abnormal,Pulmonary embolism with pulmonary infarction,1
Lung field abnormal,Respiratory finding of chest,1
Lung field abnormal,Secondary diabetes mellitus,1
Lung field abnormal,Sepsis due to Staphylococcus aureus,1
Lung field abnormal,Sepsis due to Streptococcus group D,1
Lung field abnormal,Sequela,1
Lung field abnormal,Sleep apnea,1
Lung field abnormal,Sprain of cruciate ligament of knee,1
Lung field abnormal,Strain of supraspinatus muscle AND/OR tendon,1
Lung field abnormal,Swelling of limb,1
Lung field abnormal,Thrombophlebitis of intracranial venous sinus,1
Lung field abnormal,Thrombosis of superficial vein of lower limb,1
Lung field abnormal,Tobacco dependence syndrome,1
Lung field abnormal,Transplanted bone present,1
Abdominal pain,Impacted cerumen,1
Abdominal pain,Incomplete emptying of bladder,1
Abdominal pain,Essential thrombocythemia,1
Abdominal pain,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Abdominal pain,Exocrine pancreatic insufficiency,1
Abdominal pain,Fatigue,1
Abdominal pain,Finding of frequency of urination,1
Abdominal pain,Finding related to pregnancy,1
Abdominal pain,Finding relating to psychosocial functioning,1
Lung field abnormal,Viral exanthem,1
Lymphocytosis,Lymphoid leukemia,1
Lymphocytosis,Male infertility,1
Lymphocytosis,Meningitis,1
Lymphocytosis,Monocytosis,1
Lymphocytosis,Mood disorder caused by drug,1
Lymphocytosis,Nausea,1
Lymphocytosis,Nausea and vomiting,1
Lymphocytosis,Neutropenic disorder,1
Lymphocytosis,Non-autoimmune hemolytic anemia,1
Lymphocytosis,Obstructive sleep apnea syndrome,1
Lymphocytosis,Oral ulcerative mucositis due to antineoplastic therapy,1
Lymphocytosis,Pain due to neoplastic disease,1
Lymphocytosis,Pain in limb,1
Lymphocytosis,Pancytopenia,1
Lymphocytosis,Pleural effusion,1
Lymphocytosis,Pneumonia due to Klebsiella pneumoniae,1
Lymphocytosis,Poisoning by drug AND/OR medicinal substance,1
Lymphocytosis,Pruritus of skin,1
Lymphocytosis,Pulmonary congestion and hypostasis,1
Lymphocytosis,Pulmonary embolism with pulmonary infarction,1
Lymphocytosis,Refractory epilepsy,1
Lymphocytosis,Respiratory finding of chest,1
Lymphocytosis,Retention of urine,1
Lymphocytosis,Right upper quadrant pain,1
Lymphocytosis,Secondary diabetes mellitus,1
Lymphocytosis,Secondary hypertension,1
Lymphocytosis,Seizure,1
Lymphocytosis,Sepsis,1
Lymphocytosis,Sepsis due to Staphylococcus aureus,1
Lymphocytosis,Sepsis due to Streptococcus group D,1
Lymphocytosis,Septic shock,1
Lymphocytosis,Sequela,1
Lymphocytosis,Severe sepsis,1
Lymphocytosis,Shoulder joint pain,1
Lymphocytosis,Sleep apnea,1
Lymphocytosis,Sprain of cruciate ligament of knee,1
Lymphocytosis,Strain of supraspinatus muscle AND/OR tendon,1
Lymphocytosis,Swelling of limb,1
Lymphocytosis,Tachycardia,1
Lymphocytosis,Thrombocytopenic disorder,1
Lymphocytosis,Thrombophlebitis of intracranial venous sinus,1
Lymphocytosis,Thrombosis of superficial vein of lower limb,1
Lymphocytosis,Tobacco dependence syndrome,1
Lymphocytosis,Transplant present,1
Lymphocytosis,Transplanted bone present,1
Lymphocytosis,Trauma and postoperative pulmonary insufficiency,1
Lymphocytosis,Tumor lysis syndrome,1
Lymphocytosis,Ulcerative stomatitis,1
Lymphocytosis,Urine finding,1
Lymphocytosis,Urticaria,1
Lymphocytosis,Venous thrombosis,1
Lymphocytosis,Viral disease,1
Lymphocytosis,Viral exanthem,1
Lymphocytosis,Vomiting,1
Lymphoid leukemia,Male infertility,1
Lymphoid leukemia,Meningitis,1
Lymphoid leukemia,Monocytosis,1
Lymphoid leukemia,Mood disorder caused by drug,1
